,Unnamed: 0,SourceName,TargetName
192,192,abdul gaffaar,अब्दुल गफ्फार
193,193,abdul ganee,अब्दुल गनी
194,194,abdul gani,अब्दुल गनी
195,195,abdul hadee,अब्दुल हदी
196,196,abdul hadi,अब्दुल हदी
197,197,abdul hafeed,अब्दुल हफीद
198,198,abdul hakeem,अब्दुल हकीम
199,199,abdul haleem,अब्दुल हलीम
200,200,abdul halim,अब्दुल हलीम
201,201,abdul hannaan,अब्दुल हन्नान
202,202,abdul haq,अब्दुल हक
203,203,abdul haseeb,अब्दुल हसीब
204,204,abdul hayy,अब्दुल हय
205,205,abdul jabbaar,अब्दुल जब्बार
206,206,abdul kabeer,अब्दुल कबीर
207,207,abdul khaaliq,अब्दुल खालिक
208,208,abdul khabeer,अब्दुल खबीर
209,209,abdul khaleeq,अब्दुल खलीक
210,210,abdul maalik,अब्दुल मालिक
211,211,abdul majid,अब्दुल मजीद
212,212,abdul malik,अब्दुल मलिक
213,213,abdul mani,अब्दुल मनी
214,214,abdul mannaan,अब्दुल मन्नान
215,215,abdul mannan,अब्दुल मन्नान
216,216,abdul matin,अब्दुल मतीन
217,217,abdul muaid,अब्दुल मुएद
218,218,abdul mueez,अब्दुल मुईज़
219,219,abdul mughaani,अब्दुल मुग़ानी
220,220,abdul mughanee,अब्दुल मुग़ानी
221,221,abdul muhaayamin,अब्दुल मुहायमीन
222,222,abdul muhayameen,अब्दुल मुहायमीन
223,223,abdul muhayamin,अब्दुल मुहायमीन
224,224,abdul muhayee,अब्दुल मुहायी
225,225,abdul muid,अब्दुल मुईद
226,226,abdul mujeeb,अब्दुल मुजीब
227,227,abdul mujib,अब्दुल मुजीब
228,228,abdul munim,अब्दुल मुनीम
229,229,abdul muqeet,अब्दुल मुकीत
230,230,abdul muta'alee,अब्दुल मुताअली
231,231,abdul muzanni,अब्दुल मुज़ान्नी
232,232,abdul nafee,अब्दुल नफी
233,233,abdul nafi,अब्दुल नफी
234,234,abdul nasir,अब्दुल नासिर
235,235,abdul noor,अब्दुल नूर
236,236,abdul nur,अब्दुल नूर
237,237,abdul paula,अब्दुल पाउला
238,238,abdul qaadir,अब्दुल कादिर
239,239,abdul qadeer,अब्दुल कदीर
240,240,abdul qahhar,अब्दुल कहार
241,241,abdul qayyoom,अब्दुल कय्यूम
242,242,abdul quddus,अब्दुल कुद्दुस
243,243,abdul rabb,अब्दुल रब्ब
244,244,abdul rafee,अब्दुल रफी
245,245,abdul raheem,अब्दुल रहीम
246,246,abdul rahim,अब्दुल रहीम
247,247,abdul raqib,अब्दुल रकीब
248,248,abdul tawwaab,अब्दुल तव्वाब
249,249,abdul waajid,अब्दुल वाजिद
250,250,abdul wadood,अब्दुल वदूद
251,251,abdul wahaab,अब्दुल वहाब
252,252,abdul wahhab,अब्दुल वहाब
253,253,abdul wahid,अब्दुल वहीद
254,254,abdul wajeed,अब्दुल वजीद
255,255,abdul walee,अब्दुल वली
256,256,abdul wasi,अब्दुल वसी
257,257,abdul zalil,अब्दुल ज़लील
258,258,abdul zawwaad,अब्दुल ज़व्वाद
259,259,abdul zawwad,अब्दुल ज़व्वाद
260,260,abdullah,अब्दुल्लाह
261,261,abdur rahamaan,अब्दुर रहमान
262,262,abdur rahaman,अब्दुर रहमान
263,263,abdur rahim,अब्दुर रहीम
264,264,abdur rahmaan,अब्दुर रहमान
265,265,abdur rahman,अब्दुर रहमान
266,266,abdur raqeeb,अब्दुर रकीब
267,267,abdur rasheed,अब्दुर रशीद
268,268,abdur rashid,अब्दुर रशीद
269,269,abdur rauf,अब्दुर रौफ
270,270,abdur razzaq,अब्दुर रज़्ज़ाक
271,271,abdur rehman,अब्दुर रहमान
272,272,abdus,अब्दुस
273,273,abdus saami,अब्दुस सामी
274,274,abdus salaam,अब्दुस सलाम
275,275,abdus salam,अब्दुस सलाम
276,276,abdus samad,अब्दुस समद
277,277,abdus sami,अब्दुस सामी
278,278,abdus sattaar,अब्दुस सत्तार
279,279,abdus shafee,अब्दुस शफी
280,280,abdus shafi,अब्दुस शफी
281,281,abdus shakoor,अब्दुस शकूर
282,282,abdus shakur,अब्दुस शकूर
283,283,abdus subbooh,अब्दुस सुब्बूह
284,284,abeera,अबीरा
285,285,abeeraa,अबीरा
286,286,abhay,अभय
287,287,abhayaa,अभया
288,288,abhayaprad,अभयप्रद
289,289,abhaynandaa,अभयनन्दा
290,290,abheer,अभीर
291,291,abhi abhi,अभी अभी
292,292,abhibhaav,अभिभाव
293,293,abhibhav,अभिभाव
294,294,abhichandr,अभिचंद्र
295,295,abhihit,अभिहित
296,296,abhijaat,आभिजात
297,297,abhijat,आभिजात
298,298,abhijeet,अभिजीत
299,299,abhijit,अभिजीत
300,300,abhijit kale,अभिजीत काले
301,301,abhijvaala,अभिज्वाला
302,302,abhijvalaa,अभिज्वाला
303,303,abhilaasha,अभिलाषा
304,304,abhilasahaa,अभिलाषा
305,305,abhilasha,अभिलाषा
306,306,abhilashaa,अभिलाषा
307,307,abhimaan,अभिमान
308,308,abhimand,अभिमन्द
309,309,abhimani,अभिमणि
310,310,abhimanyu,अभिमन्यु
311,311,abhinaath,अभिनाथ
312,312,abhinandaa,अभिनन्दा
313,313,abhinath,अभिनाथ
314,314,abhinav,अभिनव
315,315,abhinbhaas,अभिनभास
316,316,abhinetri,अभिनेत्री
317,317,abhir,अभीर
318,318,abhiraam,अभिराम
319,319,abhirup,अभिरूप
320,320,abhishok,अभिशोक
321,321,abhisok,अभिशोक
322,322,abhisoka,अभिशोक
323,323,abhisyant,अभिष्यंत
324,324,abhivir,अभिवीर
325,325,abhr,अभ्र
326,326,abhra,अभ्र
327,327,abhrakasin,अभ्रकसिन
328,328,abhyagni,अभ्यग्नि
329,329,abhyankar,अभयंकर
330,330,abjayoni,अब्जयोनि
331,331,abjinipati,अब्जिनिपति
332,332,abjit,अब्जित
333,333,abnoor,अबनूर
334,334,abnur,अबनूर
335,335,abodh,अबोध
336,336,abrahams,अब्राहम्स
337,337,abrash,अबराश
338,338,abril,एब्रिल
339,339,absi,अब्सि
340,340,abu road,आबु रोड
341,341,abundant life christian fellowship,अब्यूडंट लाइफ क्रिश्चियन फ़ेलोशिप
342,342,abyad,अब्याद
343,343,abyssinia,एबीसीनिया
344,344,abzaari,अब्ज़ारी
345,345,abzug,एब्ज़ुग
346,346,acacia,एकेसिया
347,347,acaryatanaya,अकर्यतनया
348,348,accident,ऐक्सीडेंट
349,349,accommodation times,एकोमोडेशन टाइम्स
350,350,achala,अचला
351,351,achalaapati,अचलापति
352,352,achalapati,अचलापति
353,353,achalendra,अचलेंद्र
354,354,achaleshvar,अचलेश्वर
355,355,achaleshvara,अचलेश्वर
356,356,achaleshwar,अचलेश्वर
357,357,achaleshwara,अचलेश्वर
358,358,achaleswar,अचलेश्वर
359,359,achaleswara,अचलेश्वर
360,360,achalganj,अचलगंज
361,361,achanak,अचानक
362,362,achand,अचंद
363,363,achanda,अचंदा
364,364,achandaa,अचंदा
365,365,acharya tulsi,आचार्य तुलसी
366,366,acharyasuta,आचार्यसुता
367,367,acharyasutaa,आचार्यसुता
368,368,acharynandan,आचार्यनंदन
369,369,acharynandana,आचार्यनंदना
370,370,acharysut,आचार्यसुत
371,371,acharysutaa,आचार्यसुता
372,372,achcha bura,अच्छा बुरा
373,373,achhut,अछूत
374,374,achinty,अचिंत्य
375,375,achintya,अचिंत्य
376,376,achyuta,अच्युत
377,377,achyutaray,अच्युतराय
378,378,achyutraay,अच्युतराय
379,379,achyutray,अच्युतराय
380,380,ackland art museum,अकलैंड आर्ट म्युज़ियम
381,381,actinium,एक्टीनियम
382,382,activity,एक्टीविटी
383,383,actress,एक्ट्रेस
384,384,actress kyon bani,एक्ट्रेस क्यों बनी
385,385,adair,अडायर
386,386,adalat,अदालत
387,387,adalia,ऐडालिया
388,388,adalrasu,अदलरसु
389,389,adam,आदम
390,390,adam bacher,ऐडम बैचर
391,391,adam dale,एडम डेल
392,392,adams shore bible baptist,एडम्स शॉरे बायबल बैपटिस्ट
393,393,adarsh,आदर्श
394,394,adas road,आदस रोड
395,395,adawi,अदावि
396,396,adbul qawi,अद्‍बुल कावी
397,397,addan,अड्डण
398,398,addison,एडिसन
399,399,adecco,एडेको
400,400,adela,एडेला
401,401,adelaide,एडीलेड
402,402,adelle,एडेल
403,403,aderyn,एडरिन
404,404,adesar,अदेसर
405,405,adgaon buzurg,अदगांव बुज़ुर्ग
406,406,adharm,अधर्म
407,407,adheer,अधीर
408,408,adheera,अधीरा
409,409,adhikar,अधिकार
410,410,adhiwar,अधिवर
411,411,adhokshaj,अधोक्षज
412,412,adidas,एडीडास
413,413,adie,एडी
414,414,adil,अदिल
415,415,adil-e-jahangir,आदिल-ए-जहाँगीर
416,416,adilakshman,आदिलक्ष्मण
417,417,adimoorti,आदिमूर्ति
418,418,adinaaraayan,आदिनारायण
419,419,adinaath,आदिनाथ
420,420,adinaraayan,आदिनारायण
421,421,adinath,आदिनाथ
422,422,adirondack,एडिरॉन्डैक
423,423,adishree,आदिश्री
424,424,aditya vikram birla group,आदित्य विक्रम बिड़ला ग्रुप
425,425,adityakeshav,आदित्यकेशव
426,426,adityanandan,आदित्यनंदन
427,427,adityapur,आदित्यपुर
428,428,adityavardhan,आदित्यवर्धन
429,429,aditynandan,आदित्यनंदन
430,430,admiral gorshkov,एडमिरल गोर्शकॉव
431,431,adnan,अदनान
432,432,adolf hitler,अडॉल्फ़ हिटलर
433,433,adolfo,एडोल्फो
434,434,adolph,एडोल्फ
435,435,adonia,एडोनिया
436,436,adonis,एडोनिस
437,437,adora,एडोरा
438,438,adriano,एड्रियानो
439,439,adriatic,एड्रीएटिक
440,440,adrina,एड्रिना
441,441,aduz zahir,अदुज़ ज़हीर
442,442,advaakee,अद्‍वाकी
443,443,advait,अद्वैत
444,444,advakee,अद्‍वाकी
445,445,advaki,अद्‍वाकी
446,446,adwaakee,अद्‍वाकी
447,447,adwaaki,अद्‍वाकी
448,448,adwakee,अद्‍वाकी
449,449,adwaki,अद्‍वाकी
450,450,adway,अद्वय
451,451,ady,एडी
452,452,adyan,अद्यान
453,453,aegean,एजियन
454,454,aetna,एट्ना
455,455,afafura,अफाफुरा
456,456,afasaanaa,अफसाना
457,457,afasanaa,अफसाना
458,458,afasara,अफसरा
459,459,afeerah,अफीराह
460,460,afif,अफीफ
461,461,afjal,अफजल
462,462,aflatoon aurat,अफलातून औरत
463,463,africa,अफ़्रीका
464,464,afshan,अफ्शां
465,465,aftab ahmed,आफताब अहमद
466,466,aftek infosys,एफ़्टेक इंफ़ोसिस
467,467,agaalia,अगालिया
468,468,agaatha,अगाथा
469,469,agaathaa,अगाथा
470,470,agalia,अगालिया
471,471,agam,आगम
472,472,agamemnon,अगमेम्नोन
473,473,agartala,अगरतला
474,474,agas,अगास
475,475,agasod,अगासोद
476,476,agatha,अगाथा
477,477,agathaa,अगाथा
478,478,agaton fort,एगाटन फोर्ट
479,479,age badho,आगे बढ़ो
480,480,agent,एजेंट
481,481,agent vinod,एजेंट विनोद
482,482,aggie,एगी
483,483,agincourt,अजिनकोर्ट
484,484,agnee,अग्नि
485,485,agnee pareeksha,अग्नि परीक्षा
486,486,agneya,अग्नेया
487,487,agni prem,अग्नि प्रेम
488,488,agni sakshi,अग्नि साक्षी
489,489,agnija,अग्निजा
490,490,agnikaal,अग्निकाल
491,491,agnikumaar,अग्निकुमार
492,492,agnikumar,अग्निकुमार
493,493,agniprav,अग्निप्रव
494,494,agosh,आगोश
495,495,agostino,एगोस्तिनो
496,496,agra,आगरा
497,497,agra cantonment,आगरा कैनटॉनमेंट
498,498,agra fort,आगरा फोर्ट
499,499,agreement,एग्रीमेंट
500,500,agricultural bank of china,एग्रीकल्चरल बैंक ऑफ चाइना
501,501,agriculture,एग्रिकलचर
502,502,agroia,अगरोइया
503,503,ahad,आहड
504,504,ahamad,अहमद
505,505,ahankaar,अहंकार
506,506,ahijit,अहिजित
507,507,ahilyaa,अहिल्या
508,508,ahista ahista,आहिस्ता आहिस्ता
509,509,ahlaadit,आह्लादित
510,510,ahlad,आह्लाद
511,511,ahmad,अहमद
512,512,ahmad al-arabi al-darqawi,अहमद अल-अरबी अल-दरक़ावी
513,513,ahmad al-bakkai al-kunti,अहमद अल-बक्काई अल-कुंती
514,514,ahmadnagar,अहमदनगर
515,515,ahmadpur junction,अहमदपुर जंक्शन
516,516,ahmed ar-rifai,अहमद अर-रिफाई
517,517,ahmed kamal,अहमद कमाल
518,518,ahmedabad,अहमदाबाद
519,519,ahraura road,अहरौरा रोड
520,520,ahwaanit,आह्वानित
521,521,ahzab,अहज़ाब
522,522,aida,आइडा
523,523,aideen,ऐदीन
524,524,aidh,ऐध
525,525,aighar,ऐगर
526,526,ailis,ऐलिस
527,527,ainsley,ऐंस्ले
528,528,ainslie,ऐंस्ली
529,529,air france klm group,एयर फ़्रांस केएलएम ग्रुप
530,530,air-india,एयर-इंडिया
531,531,airell,ऐरेल
532,532,aisa bhi hota hai,ऐसा भी होता है
533,533,aishbagh,ऐशबाग
534,534,aisling,ऐस्लिंग
535,535,ait,ऐट
536,536,aitbaar,एतबार
537,537,aithal,ऐथल
538,538,ajaad,आजाद
539,539,ajaatshatru,अजातशत्रु
540,540,ajaibpur,अजायबपुर
541,541,ajamal,अजमल
542,542,ajanta,अजंता
543,543,ajanta ellora,अजंता एलोरा
544,544,ajantaa,अजंता
545,545,ajanti,अजंती
546,546,ajaraka,अजार्का
547,547,ajatashatru,अजातशत्रु
548,548,ajay,अजय
549,549,ajay jadeja,अजय जडेजा
550,550,ajay sharma,अजय शर्मा
551,551,ajee bus shukriya,अजी बस शुक्रिया
552,552,ajeeb ittefaq,अजीब इत्तिफाक़
553,553,ajeebaah,अजीबाह
554,554,ajeej,अजीज
555,555,ajey,अजेय
556,556,ajgain,अज्गेन
557,557,aji assamese daily,अज‍ि असमीज डेल्ही
558,558,ajir asom,अजीर असोम
559,559,ajit,अजित
560,560,ajit agarkar,अजीत आगरकर
561,561,ajitaabh,अजिताभ
562,562,ajitabh,अजिताभ
563,563,ajith weerakkody,अजीथ वीरक्कोडी
564,564,ajlah,अज्लाह
565,565,ajmal,अजमल
566,566,ajmer,अजमेर
567,567,ajmer junction,अजमेर जंक्शन
568,568,ajnabi,अजनबी
569,569,ajooba,अजूबा
570,570,ajradaah,अजरदाह
571,571,ajwad,अजवाद
572,572,akaar,आकार
573,573,akaash,आकाश
574,574,akaasha,आकाश
575,575,akabar,अकबर
576,576,akagi,अकागी
577,577,akalanka ganegama,अकलंका गनेगामा
578,578,akalgadiya,अकालगड़िया
579,579,akalmand,अकलमंद
580,580,akaltara,अकालतारा
581,581,akanksha,आकांक्षा
582,582,akash,आकाश
583,583,akash pari,आकाश परी
584,584,akashi-kaikyo,अक्शी-कायक्यो
585,585,akbarganj,अकबरगंज
586,586,akbarpur,अकबरपुर
587,587,akeef,अकीफ
588,588,akele hum akele tum,अकेले हम अकेले तुम
589,589,akhalaq,अखलाक
590,590,akhfash,अखफाश
591,591,akhil,अखिल
592,592,akhlaaq,अखलाक
593,593,akhlaq,अखलाक
594,594,akhri badla,आखिरी बदला
595,595,akhtiyar,अख्तियार
596,596,akif,अकीफ
597,597,akira,अकीरा
598,598,aklia,अकलिया
599,599,akmaal,अकमाल
600,600,akola,अकोला
601,601,akora,अकोरा
602,602,akosombo dam,एकोसोम्बो डैम
603,603,akram,अकरम
604,604,akram khan,अकरम खान
605,605,akron,आक्रोन
606,606,akshan,अकशान
607,607,akshar,अक्षर
608,608,akshat,अक्षत
609,609,akshay,अक्षय
610,610,akshaya,अक्षया
611,611,akshitaa,अक्षिता
612,612,aktieselskabet dampskibsselskabet torm 4,एक्टीसल्:कॅबेट डॅम्प्सकीबेसेल्सकॅबेट टॉर्म 4
613,613,akzo nobel,एक्ज़ो नोबल
614,614,al,अल
615,615,al hilal,अल हिलाल
616,616,al-faisaliah center,अल-फैसलीअह सेन्टर
617,617,alaia,अलाइया
618,618,alain,अलैन
619,619,alaina,एलैना
620,620,alakaa,अलका
621,621,alakananda,अलकनंदा
622,622,alakanandaa,अलकनंदा
623,623,alakh niranjan,अलख निरंजन
624,624,alaknanda,अलकनंदा
625,625,alaknandaa,अलकनंदा
626,626,alam,अलम
627,627,alameda,अलमेडा
628,628,alamnagar,आलमनगर
629,629,alamo,अलैमो
630,630,alampur nava brahma,अलामपुर नावा ब्रह्मा
631,631,alan butcher,ऐलन बुचर
632,632,alan connolly,एलन कॉनोली
633,633,alan dawson,ऐलन डॉसन
634,634,alan hurst,एलन हर्स्ट
635,635,alan knott,ऐलन नॉट
636,636,alan mullally,ऐलन मुलाली
637,637,alan turner,एलन टर्नर
638,638,alana,अलना
639,639,alap,आलाप
640,640,alaric,अलैरिक
641,641,alas purwo,अलास पुर्वो
642,642,alastair,अलस्टेयर
643,643,alauddin,अलाउद्दीन
644,644,alaura,एलौरा
645,645,alba,अल्बा
646,646,albela mastana,अलबेला मस्ताना
647,647,albemarle,एल्बेमारले
648,648,albert gore,अल्बर्ट गोर
649,649,albert pinto ko gussa kyon ata hai,अल्बर्ट पिंटो को गुस्सा क्यों आता है
650,650,alberta,अलबर्टा
651,651,albina,अल्बिना
652,652,alda,एल्दा
653,653,aldan,एल्डन
654,654,aldona,एल्डोना
655,655,aldous huxley,अल्डुअस हक्सले
656,656,aleda,एलेडा
657,657,aleema,अलीमा
658,658,alegrias,एलेग्रियास
659,659,aler,अलेर
660,660,aleta,एलेटा
661,661,aletha,एलेटा
662,662,alethea,एलेथिया
663,663,aleutian,अलेयूशियन
664,664,alexa,अलेक्सा
665,665,alexander,अलेक्जेंडर
666,666,alexander agassiz medal,अलेक्ज़ेंडर अगासीज़ मेडल
667,667,alexandra,अलेक्सांद्रा
668,668,alexia,अलेक्सिआ
669,669,alfonso,अल्फांसो
670,670,alfred hitchcock,अल्फ़्रेड हिचकॉक
671,671,alfred luseno,एल्फ्रेड लूसेनो
672,672,alfred tennison,अल्फ़्रेड टेनीसन
673,673,algawan,अल्गावन
674,674,alger hiss,अल्गर हिस
675,675,algiers,अल्जीयर्स
676,676,alhad,आल्हाद
677,677,ali,अली
678,678,ali hujwiri,अली हुज्वीरी
679,679,alibaba,अलीबाबा
680,680,alibaba marjina,अलीबाबा मर्जीना
681,681,alibagh,अलीबाग
682,682,alibaug,अलीबाग
683,683,alice,एलिस
684,684,alicia,एलीसिया
685,685,alida,एलिडा
686,686,aligarh,अलीगढ़
687,687,alimaa,अलीमा
688,688,alipur duar junction,अलीपुर द्वार जंक्शन
689,689,alisa,अलिसा
690,690,alisha,अलिशा
691,691,aliwal,अलीवाल
692,692,allah rakha,अल्लाह रखा
693,693,allahabad,इलाहाबाद
694,694,allahabad bank,इलाहाबाद बैंक
695,695,allahabad city,अलाहाबाद सिटी
696,696,allahabad junction,अलाहाबाद जंक्शन
697,697,allan border medal,एलन बोर्डर मेडल
698,698,allaudin ka beta,अलाउद्दीन का बेटा
699,699,allaudin laila,अलाउद्दीन लैला
700,700,allemande,एलेमैंड
701,701,allen ginsberg,एलन जिंसबर्ग
702,702,allepi,अल्लेपी
703,703,alleppey,एलीपे
704,704,allianz,एलायंज़
705,705,allie,एली
706,706,alma assembly of god's,अल्मा असेंब्ली ऑफ गॉड्स
707,707,almanij,अल्मनिज
708,708,almas,अल्मस
709,709,almirante latorre,अल्मीरेंट लेटौर
710,710,almoda,अल्मोडा
711,711,alniya,अलनिया
712,712,aloarakh,अलौरख
713,713,alok industries,आलोक इंडस्ट्रीज़
714,714,alok kapali,आलोक कपाली
715,715,aloudpuri,अलौदपुरी
716,716,alpanaa,अल्पना
717,717,alpesh vadher,अल्पेश वाढ़ेर
718,718,alpha,अल्फा
719,719,alphonse,अल्फोंसे
720,720,alpine skiing world cup,एल्पाइन स्कीइंग वर्ल्ड कप
721,721,alstom projects,आल्सटॉम प्रोजेक्ट्स
722,722,altaaf,अल्ताफ
723,723,altair nanotechnologies,अल्टायर नैनोटेकर्नलॉजिस
724,724,altamaha,अल्तमाहा
725,725,althea,एल्थिया
726,726,alton,एल्टन
727,727,alvin,एल्विन
728,728,alvin greenidge,एल्विन ग्रीनिज
729,729,alvin kallicharran,एल्विन कालीचरन
730,730,alwar,अलवर
731,731,alwaye,ऑल्वे
732,732,alwork,एल्वर्क
733,733,amaanat,अमानत
734,734,amaanath,अमानाथ
735,735,amaatullah,अमातुल्लाह
736,736,amadeus mozart,एमॅड्यूस मोज़ार्ट
737,737,amadhya,अमध्य
738,738,amadou bamba,अमादोउ बांबा
739,739,amagi,अमागी
740,740,amajad,अमजद
741,741,amal,अमल
742,742,amala,आमला
743,743,amalataas,अमलतास
